Dimension,Workload_ID,Workload_Name,Domain,Parameter,Metric_Value,Verdict
Data,causal-language-modeling,Causal LM (nanoGPT),Language,100%,0.08ms,Pass
Data,causal-language-modeling,Causal LM (nanoGPT),Language,50%,0.03ms,Recorded Miss
Data,causal-language-modeling,Causal LM (nanoGPT),Language,25%,0.02ms,Recorded Miss
Data,causal-language-modeling,Causal LM (nanoGPT),Language,10%,0.02ms,Recorded Miss
Data,text-classification,Text Classification (DistilBERT),Language,100%,0.12ms,Pass
Data,text-classification,Text Classification (DistilBERT),Language,50%,0.03ms,Recorded Miss
Data,text-classification,Text Classification (DistilBERT),Language,25%,0.02ms,Recorded Miss
Data,text-classification,Text Classification (DistilBERT),Language,10%,0.02ms,Recorded Miss
Data,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,100%,0.13ms,Pass
Data,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,50%,0.03ms,Recorded Miss
Data,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,25%,0.02ms,Recorded Miss
Data,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,10%,0.02ms,Recorded Miss
Data,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,100%,0.09ms,Pass
Data,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,50%,0.03ms,Recorded Miss
Data,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,25%,0.02ms,Recorded Miss
Data,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,10%,0.02ms,Recorded Miss
Data,function-calling,Function Calling (Qwen3 AST),Language/Agents,100%,0.09ms,Pass
Data,function-calling,Function Calling (Qwen3 AST),Language/Agents,50%,0.03ms,Recorded Miss
Data,function-calling,Function Calling (Qwen3 AST),Language/Agents,25%,0.02ms,Recorded Miss
Data,function-calling,Function Calling (Qwen3 AST),Language/Agents,10%,0.02ms,Recorded Miss
Data,graph-node-classification,Graph Classification (GCN),Graph,100%,0.09ms,Pass
Data,graph-node-classification,Graph Classification (GCN),Graph,50%,0.03ms,Recorded Miss
Data,graph-node-classification,Graph Classification (GCN),Graph,25%,0.02ms,Recorded Miss
Data,graph-node-classification,Graph Classification (GCN),Graph,10%,0.02ms,Recorded Miss
Data,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,100%,0.11ms,Pass
Data,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,50%,0.03ms,Recorded Miss
Data,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,25%,0.03ms,Recorded Miss
Data,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,10%,0.02ms,Recorded Miss
Data,image-classification,Image Classification (ResNet8),Vision,100%,0.1ms,Pass
Data,image-classification,Image Classification (ResNet8),Vision,50%,0.03ms,Recorded Miss
Data,image-classification,Image Classification (ResNet8),Vision,25%,0.02ms,Recorded Miss
Data,image-classification,Image Classification (ResNet8),Vision,10%,0.02ms,Recorded Miss
Data,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,100%,0.1ms,Pass
Data,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,50%,0.03ms,Recorded Miss
Data,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,25%,0.02ms,Recorded Miss
Data,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,10%,0.02ms,Recorded Miss
Data,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,100%,0.1ms,Pass
Data,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,50%,0.03ms,Recorded Miss
Data,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,25%,0.02ms,Recorded Miss
Data,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,10%,0.02ms,Recorded Miss
Data,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,100%,0.09ms,Pass
Data,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,50%,0.03ms,Recorded Miss
Data,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,25%,0.02ms,Recorded Miss
Data,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,10%,0.02ms,Recorded Miss
Data,image-generation,Image Generation (EDM Diffusion),Generative AI,100%,0.11ms,Pass
Data,image-generation,Image Generation (EDM Diffusion),Generative AI,50%,0.03ms,Recorded Miss
Data,image-generation,Image Generation (EDM Diffusion),Generative AI,25%,0.02ms,Recorded Miss
Data,image-generation,Image Generation (EDM Diffusion),Generative AI,10%,0.02ms,Recorded Miss
Data,recommendation,Recommendation (NCF),RecSys,100%,0.1ms,Pass
Data,recommendation,Recommendation (NCF),RecSys,50%,0.05ms,Recorded Miss
Data,recommendation,Recommendation (NCF),RecSys,25%,0.02ms,Recorded Miss
Data,recommendation,Recommendation (NCF),RecSys,10%,0.02ms,Recorded Miss
Data,reinforcement-learning,Reinforcement Learning (MiniGo),RL,100%,0.09ms,Pass
Data,reinforcement-learning,Reinforcement Learning (MiniGo),RL,50%,0.03ms,Recorded Miss
Data,reinforcement-learning,Reinforcement Learning (MiniGo),RL,25%,0.02ms,Recorded Miss
Data,reinforcement-learning,Reinforcement Learning (MiniGo),RL,10%,0.02ms,Recorded Miss
Algorithm,causal-language-modeling,Causal LM (nanoGPT),Language,FP32,110.0ms,Pass
Algorithm,causal-language-modeling,Causal LM (nanoGPT),Language,FP16,68.2ms,Pass
Algorithm,causal-language-modeling,Causal LM (nanoGPT),Language,INT8,44.0ms,Pass
Algorithm,text-classification,Text Classification (DistilBERT),Language,FP32,45.0ms,Pass
Algorithm,text-classification,Text Classification (DistilBERT),Language,FP16,27.9ms,Pass
Algorithm,text-classification,Text Classification (DistilBERT),Language,INT8,18.0ms,Pass
Algorithm,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,FP32,18.0ms,Pass
Algorithm,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,FP16,11.16ms,Pass
Algorithm,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,INT8,7.2ms,Pass
Algorithm,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,FP32,350.0ms,Pass
Algorithm,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,FP16,217.0ms,Pass
Algorithm,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,INT8,140.0ms,Recorded Miss
Algorithm,function-calling,Function Calling (Qwen3 AST),Language/Agents,FP32,210.0ms,Pass
Algorithm,function-calling,Function Calling (Qwen3 AST),Language/Agents,FP16,130.2ms,Pass
Algorithm,function-calling,Function Calling (Qwen3 AST),Language/Agents,INT8,84.0ms,Recorded Miss
Algorithm,graph-node-classification,Graph Classification (GCN),Graph,FP32,24.0ms,Pass
Algorithm,graph-node-classification,Graph Classification (GCN),Graph,FP16,14.88ms,Pass
Algorithm,graph-node-classification,Graph Classification (GCN),Graph,INT8,9.6ms,Recorded Miss
Algorithm,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,FP32,15.0ms,Pass
Algorithm,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,FP16,9.3ms,Pass
Algorithm,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,INT8,6.0ms,Pass
Algorithm,image-classification,Image Classification (ResNet8),Vision,FP32,8.1ms,Pass
Algorithm,image-classification,Image Classification (ResNet8),Vision,FP16,5.02ms,Pass
Algorithm,image-classification,Image Classification (ResNet8),Vision,INT8,3.24ms,Pass
Algorithm,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,FP32,8.0ms,Pass
Algorithm,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,FP16,4.96ms,Pass
Algorithm,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,INT8,3.2ms,Pass
Algorithm,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,FP32,4.5ms,Pass
Algorithm,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,FP16,2.79ms,Pass
Algorithm,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,INT8,1.8ms,Pass
Algorithm,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,FP32,2.8ms,Pass
Algorithm,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,FP16,1.74ms,Pass
Algorithm,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,INT8,1.12ms,Pass
Algorithm,image-generation,Image Generation (EDM Diffusion),Generative AI,FP32,180.0ms,Pass
Algorithm,image-generation,Image Generation (EDM Diffusion),Generative AI,FP16,111.6ms,Pass
Algorithm,image-generation,Image Generation (EDM Diffusion),Generative AI,INT8,72.0ms,Pass
Algorithm,recommendation,Recommendation (NCF),RecSys,FP32,35.0ms,Pass
Algorithm,recommendation,Recommendation (NCF),RecSys,FP16,21.7ms,Pass
Algorithm,recommendation,Recommendation (NCF),RecSys,INT8,14.0ms,Recorded Miss
Algorithm,reinforcement-learning,Reinforcement Learning (MiniGo),RL,FP32,50.0ms,Pass
Algorithm,reinforcement-learning,Reinforcement Learning (MiniGo),RL,FP16,31.0ms,Pass
Algorithm,reinforcement-learning,Reinforcement Learning (MiniGo),RL,INT8,20.0ms,Pass
Machine,causal-language-modeling,Causal LM (nanoGPT),Language,MPS Speedup,0.66x,Evaluated
Machine,text-classification,Text Classification (DistilBERT),Language,MPS Speedup,0.57x,Evaluated
Machine,information-retrieval,Information Retrieval (MiniLM-L6),Language/Retrieval,MPS Speedup,0.56x,Evaluated
Machine,code-generation,Code Generation (Qwen2.5-Coder),Language/Code,MPS Speedup,0.83x,Evaluated
Machine,function-calling,Function Calling (Qwen3 AST),Language/Agents,MPS Speedup,0.58x,Evaluated
Machine,graph-node-classification,Graph Classification (GCN),Graph,MPS Speedup,0.57x,Evaluated
Machine,time-series-forecasting,Time-Series Forecasting (PatchTST),Time-Series,MPS Speedup,0.64x,Evaluated
Machine,image-classification,Image Classification (ResNet8),Vision,MPS Speedup,0.61x,Evaluated
Machine,keyword-spotting,Keyword Spotting (DS-CNN),Audio/Embedded,MPS Speedup,0.57x,Evaluated
Machine,visual-wake-words,Visual Wake Words (MobileNetV2),Vision/Embedded,MPS Speedup,0.56x,Evaluated
Machine,anomaly-detection,Anomaly Detection (Autoencoder),Audio/Embedded,MPS Speedup,0.56x,Evaluated
Machine,image-generation,Image Generation (EDM Diffusion),Generative AI,MPS Speedup,0.56x,Evaluated
Machine,recommendation,Recommendation (NCF),RecSys,MPS Speedup,0.57x,Evaluated
Machine,reinforcement-learning,Reinforcement Learning (MiniGo),RL,MPS Speedup,0.65x,Evaluated
